State,Date,Confirmed,Deaths,Recovered,Active
Kerala,30-01-2020,1,0,0,1
Kerala,31-01-2020,1,0,0,1
Kerala,01-02-2020,2,0,0,2
Kerala,02-02-2020,3,0,0,3
Kerala,03-02-2020,3,0,0,3
Kerala,04-02-2020,3,0,0,3
Kerala,05-02-2020,3,0,0,3
Kerala,06-02-2020,3,0,0,3
Kerala,07-02-2020,3,0,0,3
Kerala,08-02-2020,3,0,0,3
Kerala,09-02-2020,3,0,0,3
Kerala,10-02-2020,3,0,0,3
Kerala,11-02-2020,3,0,0,3
Kerala,12-02-2020,3,0,0,3
Kerala,13-02-2020,3,0,0,3
Kerala,14-02-2020,3,0,0,3
Kerala,15-02-2020,3,0,0,3
Kerala,16-02-2020,3,0,0,3
Kerala,17-02-2020,3,0,0,3
Kerala,18-02-2020,3,0,0,3
Kerala,19-02-2020,3,0,0,3
Kerala,20-02-2020,3,0,0,3
Kerala,21-02-2020,3,0,0,3
Kerala,22-02-2020,3,0,0,3
Kerala,23-02-2020,3,0,0,3
Kerala,24-02-2020,3,0,0,3
Kerala,25-02-2020,3,0,0,3
Kerala,26-02-2020,3,0,0,3
Kerala,27-02-2020,3,0,0,3
Kerala,28-02-2020,3,0,0,3
Kerala,29-02-2020,3,0,0,3
Kerala,01-03-2020,3,0,0,3
Delhi,02-03-2020,1,0,0,1
Kerala,02-03-2020,3,0,0,3
Telengana,02-03-2020,1,0,0,1
Delhi,03-03-2020,1,0,0,1
Kerala,03-03-2020,3,0,3,0
Rajasthan,03-03-2020,1,0,0,1
Telengana,03-03-2020,1,0,0,1
Delhi,04-03-2020,1,0,0,1
Haryana,04-03-2020,2,0,0,2
Kerala,04-03-2020,3,0,3,0
Rajasthan,04-03-2020,15,0,0,15
Telengana,04-03-2020,1,0,0,1
Uttar Pradesh,04-03-2020,6,0,0,6
Delhi,05-03-2020,2,0,0,2
Haryana,05-03-2020,2,0,0,2
Kerala,05-03-2020,3,0,3,0
Rajasthan,05-03-2020,15,0,0,15
Telengana,05-03-2020,1,0,0,1
Uttar Pradesh,05-03-2020,7,0,0,7
Delhi,06-03-2020,3,0,0,3
Haryana,06-03-2020,2,0,0,2
Kerala,06-03-2020,3,0,3,0
Rajasthan,06-03-2020,15,0,0,15
Telengana,06-03-2020,1,0,0,1
Uttar Pradesh,06-03-2020,7,0,0,7
Delhi,07-03-2020,3,0,0,3
Haryana,07-03-2020,2,0,0,2
Kerala,07-03-2020,3,0,3,0
Ladakh,07-03-2020,2,0,0,2
Rajasthan,07-03-2020,15,0,0,15
Tamil Nadu,07-03-2020,1,0,0,1
Telengana,07-03-2020,1,0,0,1
Uttar Pradesh,07-03-2020,7,0,0,7
Delhi,08-03-2020,3,0,0,3
Haryana,08-03-2020,2,0,0,2
